hostname,IP,Interface,Date Time,rxpck/s,txpck/s,rxkB/s,txkB/s
r8,192.168.219.111,eth0,2025-11-08 14:00:00,1.82,0.17,0.21,0.03
r8,192.168.219.111,eth0,2025-11-08 14:10:00,2.00,0.41,0.25,0.08
r8,192.168.219.111,eth0,2025-11-08 14:20:01,1.73,0.28,0.23,0.05
r8,192.168.219.111,eth0,2025-11-08 14:30:02,2.53,0.19,0.41,0.03
r8,192.168.219.111,eth0,2025-11-08 14:40:02,1.58,0.19,0.21,0.03
r8,192.168.219.111,eth0,2025-11-08 14:50:03,1.62,0.24,0.28,0.05
r8,192.168.219.111,eth0,2025-11-08 15:00:04,1.46,0.05,0.19,0.01
r8,192.168.219.111,eth0,2025-11-08 15:10:04,1.25,0.01,0.15,0.00
r8,192.168.219.111,eth0,2025-11-08 15:20:05,1.23,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-08 15:30:06,1.23,0.11,0.15,0.02
r8,192.168.219.111,eth0,2025-11-08 15:40:06,1.50,0.36,0.31,0.09
r8,192.168.219.111,eth0,2025-11-08 Average:,3.82,0.90,3.61,0.07
r8,192.168.219.111,4.18.0-553.78.1.el8_10.x86_64,2025-11-07 Linux,0.00,11.00,0.00,0.00
r8,192.168.219.111,,2025-11-07 ,0.00,0.00,0.00,0.00
r8,192.168.219.111,LINUX,2025-11-07 18:22:30,0.00,0.00,0.00,0.00
r8,192.168.219.111,,2025-11-07 ,0.00,0.00,0.00,0.00
r8,192.168.219.111,eth0,2025-11-07 18:40:00,1.14,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-07 18:50:01,1.11,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-07 19:00:02,1.39,0.10,0.23,0.02
r8,192.168.219.111,eth0,2025-11-07 19:10:02,1.11,0.01,0.13,0.00
r8,192.168.219.111,eth0,2025-11-07 19:20:03,1.23,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-07 19:30:03,1.77,0.01,0.17,0.00
r8,192.168.219.111,eth0,2025-11-07 19:40:04,1.76,0.01,0.18,0.00
r8,192.168.219.111,eth0,2025-11-07 19:50:05,1.70,0.01,0.17,0.00
r8,192.168.219.111,eth0,2025-11-07 20:00:05,1.64,0.03,0.17,0.01
r8,192.168.219.111,eth0,2025-11-07 20:10:06,1.90,0.01,0.20,0.00
r8,192.168.219.111,eth0,2025-11-07 20:20:07,2.52,0.01,0.29,0.00
r8,192.168.219.111,eth0,2025-11-07 20:30:07,2.65,0.01,0.28,0.00
r8,192.168.219.111,eth0,2025-11-07 20:40:08,2.25,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-07 20:50:09,2.28,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-07 21:00:09,2.22,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-07 21:10:00,2.02,0.01,0.24,0.00
r8,192.168.219.111,eth0,2025-11-07 21:20:00,2.42,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-07 21:30:01,2.70,0.03,0.31,0.01
r8,192.168.219.111,eth0,2025-11-07 21:40:02,2.61,0.45,0.45,0.60
r8,192.168.219.111,eth0,2025-11-07 21:50:02,2.06,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-07 22:00:03,1.77,0.01,0.23,0.00
r8,192.168.219.111,eth0,2025-11-07 22:10:04,1.62,0.01,0.19,0.00
r8,192.168.219.111,eth0,2025-11-07 22:20:04,1.71,0.01,0.21,0.00
r8,192.168.219.111,eth0,2025-11-07 22:30:05,1.79,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-07 22:40:06,1.83,0.13,0.31,0.03
r8,192.168.219.111,eth0,2025-11-07 22:50:06,1.84,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-07 23:00:07,1.89,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-07 23:10:08,2.30,0.01,0.25,0.00
r8,192.168.219.111,eth0,2025-11-07 23:20:08,1.77,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-07 23:30:09,1.67,0.01,0.20,0.00
r8,192.168.219.111,eth0,2025-11-07 23:40:00,1.66,0.01,0.20,0.00
r8,192.168.219.111,eth0,2025-11-07 23:50:00,1.77,0.05,0.24,0.01
r8,192.168.219.111,eth0,2025-11-07 Average:,1.88,0.03,0.23,0.02
